=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
     1 |      100 | -1.583530E-01 | -6.428571E+00
     2 |      150 | -3.033479E-01 | -6.428571E+00
     3 |      200 | -5.861905E-01 | -6.571429E+00
     4 |      250 | -1.081362E+00 | -6.571429E+00
     5 |      300 | -1.868617E+00 | -6.571429E+00
     6 |      350 | -2.680194E+00 | -6.571429E+00
     7 |      400 | -3.179114E+00 | -6.571429E+00
     8 |      450 | -3.359817E+00 | -6.571429E+00
     9 |      500 | -3.406740E+00 | -6.571429E+00
    10 |      550 | -3.445355E+00 | -6.571429E+00
    11 |      600 | -3.489971E+00 | -6.571429E+00
    12 |      650 | -3.525919E+00 | -6.571429E+00
    13 |      700 | -3.563868E+00 | -6.571429E+00
    14 |      750 | -3.599722E+00 | -6.571429E+00
    15 |      800 | -3.633473E+00 | -6.571429E+00
    16 |      850 | -3.665231E+00 | -6.571429E+00
    17 |      900 | -3.693040E+00 | -6.571429E+00
    18 |      950 | -3.695136E+00 | -6.571429E+00
    19 |     1000 | -3.728220E+00 | -6.571429E+00
    20 |     1050 | -3.735590E+00 | -6.571429E+00
    21 |     1100 | -3.742960E+00 | -6.571429E+00
    22 |     1150 | -3.749004E+00 | -6.571429E+00
    23 |     1200 | -3.756374E+00 | -6.571429E+00
    24 |     1250 | -3.765744E+00 | -6.571429E+00
    25 |     1300 | -3.771018E+00 | -6.571429E+00
    26 |     1350 | -3.774198E+00 | -6.571429E+00
    27 |     1400 | -3.776198E+00 | -6.571429E+00
    28 |     1450 | -3.776198E+00 | -6.571429E+00
    29 |     1500 | -3.778198E+00 | -6.571429E+00
    30 |     1550 | -3.778198E+00 | -6.571429E+00
    31 |     1600 | -3.778198E+00 | -6.571429E+00
    32 |     1650 | -3.778198E+00 | -6.571429E+00
    33 |     1700 | -3.778198E+00 | -6.571429E+00
    34 |     1750 | -3.778198E+00 | -6.571429E+00
    35 |     1800 | -3.778198E+00 | -6.571429E+00
    36 |     1850 | -3.778198E+00 | -6.571429E+00
    37 |     1900 | -3.778198E+00 | -6.571429E+00
    38 |     1950 | -3.778198E+00 | -6.571429E+00
    39 |     2000 | -3.778198E+00 | -6.571429E+00
    40 |     2050 | -3.778198E+00 | -6.571429E+00
    41 |     2100 | -3.778198E+00 | -6.571429E+00
    42 |     2150 | -3.778198E+00 | -6.571429E+00
    43 |     2200 | -3.778198E+00 | -6.571429E+00
    44 |     2250 | -3.778198E+00 | -6.571429E+00
    45 |     2300 | -3.778198E+00 | -6.571429E+00
    46 |     2350 | -3.778198E+00 | -6.571429E+00
    47 |     2400 | -3.778198E+00 | -6.571429E+00
    48 |     2450 | -3.778198E+00 | -6.571429E+00
    49 |     2500 | -3.778198E+00 | -6.571429E+00
    50 |     2550 | -3.778198E+00 | -6.571429E+00
Best solution found: [array(['22', 'vv', '2', '2', 'l', '1', 'ww'], dtype='<U147')]
Function value: [-6.57142857]
